"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.896065644E0	2.563368529E-3	1.319560409E-2	8.349418640E-2	8.456934426E-2
2.906065644E0	2.888515592E-4	-3.035980463E-2	7.631969452E-2	8.213706194E-2
2.916065644E0	2.733957022E-3	-6.455257535E-3	7.153224945E-2	7.187494405E-2
2.926065644E0	-6.837811321E-3	1.313614845E-2	7.391834259E-2	7.538723653E-2
2.936065444E0	-2.593458816E-2	5.917802453E-3	6.913185120E-2	7.407318070E-2
2.946065444E0	-4.374761134E-3	1.545998454E-2	7.392024994E-2	7.564623591E-2
2.956065444E0	-8.674573153E-3	-6.377086043E-3	8.111095428E-2	8.182238294E-2
2.966065444E0	-1.034032553E-3	-1.612305641E-3	7.153797150E-2	7.156360890E-2
2.976065444E0	-3.025017679E-3	3.214165568E-3	6.675052643E-2	6.689629564E-2
2.986065444E0	6.547123194E-3	-2.542878687E-2	7.632637024E-2	8.071680629E-2
2.996065444E0	9.135309607E-3	-1.060466468E-2	8.350181580E-2	8.466679417E-2
3.006065444E0	4.460316151E-3	-5.847111344E-3	7.392597198E-2	7.429086394E-2
3.016065444E0	-1.725447923E-2	1.139986515E-2	6.673336029E-2	6.986426379E-2
3.026065444E0	-5.066841841E-4	-6.161779165E-4	6.673431396E-2	6.673908199E-2
3.036065444E0	-1.013462245E-2	6.611108780E-3	6.912708282E-2	7.017813699E-2
